"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","es:Español (Spain:Spanish es-ES)","it:italian","gr:Greenland"
"@Angiv et fakturanummer eller angiv to adskilt af kolon (f.eks 345:350)","Angiv et fakturanummer eller angiv to adskilt af kolon (f.eks 345:350)","Enter an invoice number or enter the two separated by a colon (eg 345: 350)","Geben Sie eine Rechnungsnummer oder geben Sie die beiden getrennt durch einen Doppelpunkt (zB 345: 350)","Entrez un numéro de facture ou entrer les deux séparés par deux points (par exemple, 345: 350)","Bir fatura numarasını girin ya da bir iki nokta üst üste ile ayrılmış iki girin (örneğin 345: 350)","Introduzca un número de factura o introduzca los dos separados por dos puntos (por ejemplo, 345: 350)","Inserire un numero di fattura o immettere i due separati da due punti (ad esempio, 345: 350)",
"@Angiv et id-nummer eller angiv to adskilt af kolon (f.eks 345:350)","Angiv et id-nummer eller angiv to adskilt af kolon (f.eks 345:350)","Enter an ID number or enter the two separated by a colon (eg 345: 350)","Geben Sie eine ID-Nummer oder geben Sie die beiden getrennt durch einen Doppelpunkt (zB 345: 350)","Entrez un numéro d'identification ou entrer les deux séparés par deux points (par exemple, 345: 350)","Kimlik numarasını girin ya da bir iki nokta üst üste ile ayrılmış iki girin (örneğin 345: 350)","Introduzca un número de identificación o introduzca los dos separados por dos puntos (por ejemplo, 345: 350)","Inserire un numero ID o immettere i due separati da due punti (ad esempio, 345: 350)",
"@Angiv et kassekladdenummer eller angiv to adskilt af kolon (f.eks 345:350)","Angiv et kassekladdenummer eller angiv to adskilt af kolon (f.eks 345:350)","Enter a journal entry number or enter the two separated by a colon (eg 345: 350)","Geben Sie einen Journaleintrag Nummer oder geben Sie die zwei durch einen Doppelpunkt getrennt (zB 345: 350)","Entrez un numéro d'entrée de la revue ou entrer les deux séparés par deux points (par exemple, 345: 350)","Bir günlük giriş numarasını girin veya iki nokta üst üste ayrılmış iki girin (örneğin 345: 350)","Introduzca un número de entrada de diario o introducir los dos separados por dos puntos (por ejemplo, 345: 350)","Inserire un numero di voce di diario o inserire i due separati da due punti (ad esempio, 345: 350)",
"@Angiv et kontonummer eller angiv to adskilt af kolon (f.eks 345:350)","Angiv et kontonummer eller angiv to adskilt af kolon (f.eks 345:350)","Enter an account number or enter the two separated by a colon (eg 345: 350)","Geben Sie eine Kontonummer oder geben Sie die beiden getrennt durch einen Doppelpunkt (zB 345: 350)","Entrez un numéro de compte ou entrer les deux séparés par deux points (par exemple, 345: 350)","Bir hesap numarasını girin veya iki nokta üst üste ayrılmış iki girin (örneğin 345: 350)","Introduzca un número de cuenta o introduzca los dos separados por dos puntos (por ejemplo, 345: 350)","Inserire un numero di conto o immettere i due separati da due punti (ad esempio, 345: 350)",
"@Angiv et projektnummer eller angiv to adskilt af kolon (f.eks 5:7)","Angiv et projektnummer eller angiv to adskilt af kolon (f.eks 5:7)","Enter a project number or enter the two separated by a colon (for example 5: 7)","Geben Sie eine Projektnummer oder geben Sie die durch einen Doppelpunkt getrennt zwei (zum Beispiel 5: 7)","Entrez un numéro de projet ou entrer les deux séparés par deux points (par exemple 5: 7)","Bir proje numarasını girin ya da bir iki nokta üst üste ile ayrılmış iki girin (örneğin 5: 7)","Introduzca un número de proyecto o introduzca los dos separados por dos puntos (por ejemplo, 5: 7)","Inserire un numero di progetto o immettere i due separati da due punti (ad esempio 5: 7)",
"@Angiv et tidspunkt (f.eks 17:35) ","Angiv et tidspunkt (f.eks 17:35) ","Enter a time (eg 17:35) ","Geben Sie eine Zeit (zB 17.35) ","Entrez un temps (par exemple 17:35) ","Bir saati girin (örneğin 17:35) ","Introduzca un tiempo (por ejemplo, 17:35) ","Inserire un tempo (ad esempio 17:35) ",
"@Angiv evt. navn på en ny kategori...","Angiv evt. navn på en ny kategori...","Specify if necessary. name of a new category ...","Geben Sie, wenn nötig. Namen einer neuen Kategorie ...","Précisez si nécessaire. le nom d'une nouvelle catégorie ...","Gerekirse belirtin. Yeni bir kategori adı ...","Especificar si es necesario. nombre de una nueva categoría ...","Specificare, se necessario. nome di una nuova categoria ...",
"@Angiv hvilken konto betalingen skal konteres på ved kontantsalg. Hvis feltet er tomt oprettes en åben post på beløbet på kundens konto.","Angiv hvilken konto betalingen skal konteres på ved kontantsalg. Hvis feltet er tomt oprettes en åben post på beløbet på kundens konto.","Specify which account the payment should be booked in a cash sale. If the field is empty created an open item to the amount on the customer's account.","Geben Sie der das Zahlungskonto sollte in einem Barverkauf gebucht werden. Wenn das Feld leer ist, einen offenen Posten in Höhe auf dem Konto des Kunden erstellt.","Indiquez quel compte le paiement doit être réservé à une vente au comptant. Si le champ est vide créé un élément ouvert au montant sur le compte du client.","Ödeme nakit satış rezervasyonu gerektiğini hesabı belirtin. alan boş ise müşterinin hesabına miktarı açık bir öğe oluşturdu.","Especifique qué cuenta el pago debe ser reservado con una venta en efectivo. Si el campo está vacío creado un elemento abierto a la cantidad en la cuenta del cliente.","Specificare quale account il pagamento deve essere prenotato in una vendita contanti. Se il campo è vuoto creato un elemento aperto per l'importo sul conto del cliente.",
"@Angiv hvilken konto betalingen skal konteres på ved salg på kreditkort. Hvis feltet er tomt oprettes en åben post på beløbet på kundens konto.","Angiv hvilken konto betalingen skal konteres på ved salg på kreditkort. Hvis feltet er tomt oprettes en åben post på beløbet på kundens konto.","Specify which account the payment should be booked on the sale of credit cards. If the field is empty created an open item to the amount on the customer's account.","Geben Sie der das Zahlungskonto sollte über den Verkauf von Kreditkarten gebucht werden. Wenn das Feld leer ist, einen offenen Posten in Höhe auf dem Konto des Kunden erstellt.","Indiquez quel compte le paiement devrait être réservé à la vente de cartes de crédit. Si le champ est vide créé un élément ouvert au montant sur le compte du client.","Ödeme kredi kartlarının satışı rezervasyonu gerektiğini hesabı belirtin. alan boş ise müşterinin hesabına miktarı açık bir öğe oluşturdu.","Especifique qué cuenta el pago debe ser reservado en la venta de tarjetas de crédito. Si el campo está vacío creado un elemento abierto a la cantidad en la cuenta del cliente.","Specificare quale account il pagamento deve essere prenotato sulla vendita di carte di credito. Se il campo è vuoto creato un elemento aperto per l'importo sul conto del cliente.",
"@Angiv kontonummer for den konto, hvis bevægelser skal kontrolleres","Angiv kontonummer for den konto, hvis bevægelser skal kontrolleres","Enter account number of the account movements must be checked","Geben Sie die Kontonummer der Kontobewegungen muss geprüft werden","Entrez le numéro de compte des mouvements de compte doit être vérifié","Hesap hareketlerinin girin hesap numarası kontrol edilmelidir","Introduzca el número de cuenta de los movimientos de la cuenta debe ser revisado","Inserire il numero di conto dei movimenti di conto deve essere controllato",
"@Angiv kontonummer på kunden","Angiv kontonummer på kunden","Enter account number of the customer","Geben Sie die Kontonummer des Kunden","Entrez le numéro de compte du client","müşteri hesap numarasını girin","Introduzca el número de cuenta del cliente","Inserire il numero di conto del cliente",
"@Angiv kriterier:","Angiv kriterier:","Enter criteria:","Geben Sie Kriterien:","Entrez les critères:","ölçütleri girin:","Introducir criterios:","Inserisci criteri:",
"@Angiv navne, på de filer der skal vedhæftes.","Angiv navne, på de filer der skal vedhæftes.","Specify the names of the files to attach.","Geben Sie die Namen der Dateien anhängen.","Spécifiez les noms des fichiers à joindre.","takmak için dosyaların adlarını belirtin.","Especificar los nombres de los archivos que desea adjuntar.","Specificare i nomi dei file da allegare.",
"@Angiv navnet på det Regnskab, som du har adgang til","Angiv navnet på det Regnskab, som du har adgang til","Enter the name of the account which you have access to","Geben Sie den Namen des Kontos, die Sie Zugriff haben","Entrez le nom du compte que vous avez accès à","Eğer erişimi olan hesabın adını girin","Introduce el nombre de la cuenta de la que se tiene acceso a","Inserire il nome dell'account che si ha accesso a",
"@Angiv om bogføring er tilladt","Angiv om bogføring er tilladt","Enter the posting is permitted","Geben Sie das Buchungs ist zulässig","Entrez l'affichage est autorisé","ilanı girin izin verilir","Introduzca la publicación está permitida","Inserisci il distacco è consentito",
"@Angiv periode slut Måned","Angiv periode slut Måned","Enter period end Month","Geben Sie Zeitraum Ende Monat","Entrez fin de la période Mois","dönem sonu Ay girin","Introduzca Mes del final del periodo","Inserire periodo di fine mese",
"@Angiv periode slut År","Angiv periode slut År","Enter period end Year","Geben Sie Zeitraum Ende Jahr","Entrez fin de la période Année","dönem sonu Yıl girin","Introduzca fin de año periodo","Inserire periodo di fine anno",
"@Angiv periode start Dato","Angiv periode start Dato","Enter period start date","Geben Sie Zeitraum Startdatum","Entrez période date de début","dönem başlangıç ​​tarihi girin","Introduzca la fecha de inicio periodo","Inserire la data di inizio periodo",
"@Angiv periode start Måned","Angiv periode start Måned","Enter period starting Month","Geben Sie Zeitraum ab dem Monat","Entrez période commençant Mois","dönemini Ay başlayan girmek","período que comienza el Mes introducir","Inserisci di inizio mese",
"@Angiv periode start År","Angiv periode start År","Enter period starting Year","Geben Sie Zeitraum ab dem Jahr","Entrez période commençant Année","dönemini Yıl başlayan girmek","comienza Año introducir","Inserisci di inizio anno",
"@Angiv position","Angiv position","Set location","Set Lage","Set emplacement","Set konumu","Establecer ubicación","Imposta località",
"@Angiv rabatbeløb","Angiv rabatbeløb","Enter discount amount","Geben Sie Rabattbetrag","Entrez le montant de réduction","indirim tutarı girin","Introduzca la cantidad de descuento","Inserisci importo di sconto",
"@Angiv rabatsats","Angiv rabatsats","Enter discount rate","Geben Sie Diskontsatz","Entrez le taux d'actualisation","iskonto oranını girin","Ingrese la tasa de descuento","Inserisci tasso di sconto",
"@Angiv rapporterings Konto","Angiv rapporterings Konto","Enter reporting Account","Geben Sie die Berichterstattung Konto","Entrez compte des rapports","raporlama Hesap girin","Introduzca la cuenta de informes","Inserisci account di report",
"@Angiv varenr","Angiv varenr","Enter No.","Geben Sie Nein.","Entrez No.","Hayır girin","Entre No.","Inserisci No.",
"@Annuller simulering","Annuller simulering","Cancel simulation","Abbrechen Simulation","Annuler la simulation","simülasyon İptal","Cancelar la simulación","Annulla simulazione",
"@Annuller","Annuller","Annuller","stornieren","annuler","iptal","cancelar","annullare",
"@Ansatte:","Ansatte:","Employees:","Mitarbeiter:","employés:","çalışanlar:","empleados:","dipendenti:",
"@Antal ordrelinier på en side.","Antal ordrelinier på en side.","Number of order lines on a page.","Anzahl der Auftragslinien auf einer Seite.","Nombre de lignes de commande sur une page.","Bir sayfadaki sipariş hatlarının sayısı.","Número de líneas de pedido de una página.","Numero di righe d'ordine su una pagina.",
"@Antal","Antal","Amount","Anzahl","nombre","sayı","número","numero",
"@Antal...","Antal...","Amount...","Anzahl ...","Nombre ...","Numara ...","Número ...","Numero ...",
"@Antl..","Antl..","Antl ..","Antl ..","Antl ..","Antl ..","Antl ..","Antl ..",
"@Anvend FIFO på lagervarer","Anvend FIFO på lagervarer","Use FIFO stock items","Verwenden FIFO verfügbare Teile","Utilisez FIFO stock produits","FIFO stok ürün kullanın","Utilizar FIFO artículos disponibles","Utilizzare magazzino Articoli FIFO",
"@Anvend en ensartet kulør som baggrundsfarve i vinduer.","Anvend en ensartet kulør som baggrundsfarve i vinduer.","Apply a uniform color as the background color of the windows.","Tragen Sie eine einheitliche Farbe als Hintergrundfarbe der Fenster.","Appliquer une couleur uniforme comme la couleur des fenêtres d'arrière-plan.","Pencerelerin arka plan rengi olarak üniform bir renk uygulayın.","Aplicar un color uniforme como el color de fondo de las ventanas.","Applicare un colore uniforme come il colore delle finestre sfondo.",
"@Anvend grafik som baggrund i vinduer.","Anvend grafik som baggrund i vinduer.","Use graphics as background in windows.","Verwenden Sie Grafiken als Hintergrund in den Fenstern.","Utilisez des graphiques comme arrière-plan dans les fenêtres.","windows arka plan olarak grafik kullanın.","Use gráficos como fondo en las ventanas.","Utilizzare la grafica come sfondo in Windows.",
"@Anvend hurtigfakturering (ingen tilbud & automatisk levering ved fakturering)","Anvend hurtigfakturering (ingen tilbud & automatisk levering ved fakturering)","Apply fast billing (no quotes & automatic delivery through billing)","Bewerben schnelle Abrechnung (ohne Anführungszeichen und automatische Zustellung durch Abrechnung)","Appliquer la facturation rapide (sans guillemets et envoi automatique par la facturation)","Hızlı fatura uygula (tırnak işaretleri ve fatura yoluyla otomatik teslim)","Aplicar la facturación rápida (sin comillas y la entrega automática a través de facturación)","Applicare la fatturazione veloce (senza virgolette e la distribuzione automatica attraverso la fatturazione)",
"@Anvend kostpris fra varekort.","Anvend kostpris fra varekort.","Apply cost trade cards.","Bewerben Kosten Handelskarten.","Appliquer les cartes commerciales de coûts.","Maliyet ticaret kartları uygulayın.","Aplicar las tarjetas comerciales de costes.","Applicare le carte commerciali di costo.",
"@Anvend popup-vinduer:","Anvend popup-vinduer:","Use pop-ups:","Verwenden Sie Pop-ups:","Utilisez les pop-ups:","pop-up kullanın:","Utilice las ventanas emergentes:","Utilizzare i pop-up:",
"@Anvend procentfakturering","Anvend procentfakturering","Apply percent billing","Bewerben Prozent Abrechnung","Appliquer pour cent de facturation","Yüzde fatura uygula","Aplicar por ciento de facturación","Applicare per cento di fatturazione",
