"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","pl:Polish (Poland pl-PL)","es:Español (Spain:Spanish es-ES)","it:italian"
"@Afmærk her hvis du har en google konto. Så vil du kunne se næsten alle dokumentformater. Eller kan du kun se de formater din browser understøtter.","Afmærk her hvis du har en google konto. Så vil du kunne se næsten alle dokumentformater. Eller kan du kun se de formater din browser understøtter.","Mark here if you have a google account. So you will see almost all document formats. Or you can only see the formats your browser supports.","Mark hier, wenn Sie ein Google-Konto. So werden Sie fast alle Dokumentformate zu sehen. Oder Sie können nur sehen die Formate Ihrem Browser unterstützt.","Mark ici si vous avez un compte Google. Donc, vous verrez presque tous les formats de documents. Ou vous ne pouvez voir les formats votre navigateur prend en charge.","Işaretleyin bir google hesabınız varsa burada eğer. Yani hemen hemen tüm belge formatları göreceksiniz. Yoksa tarayıcınızın desteklediği formatları görebilirsiniz.","Zaznacz tutaj, jeśli masz konto Google. Więc można zobaczyć prawie wszystkie formaty dokumentów. Albo można zobaczyć tylko formaty Twoja przeglądarka obsługuje.","Marcar aquí si tiene una cuenta de Google. Por lo que verá casi todos los formatos de documentos. O sólo se puede ver los formatos de su navegador soporta.","Mark qui se hai un account Google. Così si vedrà quasi tutti i formati di documento. Oppure si può solo vedere i formati tuo browser supporta."
"@Afmærk her hvis du vil ancende bilagsscanning og ikke selv vil etablere server til bilagsopbevaring. ","Afmærk her hvis du vil ancende bilagsscanning og ikke selv vil etablere server til bilagsopbevaring. ","Mark here if you want ancende Annex scanning and do not want to set up server to annex storage.","Mark hier, wenn Sie ancende Anhang Scannen wollen und wollen nicht einrichten Serverspeicher zu annektieren.","Mark ici si vous voulez l'annexe ancende numérisation et ne veulent pas configurer le serveur d'annexer le stockage.","Burada işaretleyin ancende Ek tarama istiyor ve depolama ilhak etmek sunucusu kurmak için istemiyorsanız.","Zaznacz tutaj, jeśli chcesz ancende załącznik skanowanie i nie chcesz, aby skonfigurować serwer, aby załączyć przechowywanie.","Marcar aquí si quiere anexo ancende de exploración y no quiere configurar el servidor de almacenamiento de anexar.","Mark qui se si vuole allegato ancende scansione e non si vuole configurare il server di annettere archiviazione."
"@Afmærk her hvis modtageren skal modtage tilbud, ordrer, fakturaer & rykker pr. mail'; ","Afmærk her hvis modtageren skal modtage tilbud, ordrer, fakturaer & rykker pr. mail'; ","Mark here if the recipient is to receive quotations, orders, invoices and reminder each. mail ';","Markieren Sie hier, wenn der Empfänger Angebote, Aufträge zu erhalten, Rechnungen und Mahnung je. Mail ';","Marquez ici si le destinataire est de recevoir les devis, commandes, factures et rappel chacun. mail ';","Alıcı alıntılar, siparişler, faturalar ve hatırlatma her almak için buraya işaretleyin. posta ';","Zaznaczyć tutaj, jeśli odbiorca ma otrzymać notowań zamówień, faktur i przypomnienia każdy. mail ';","Marque aquí si el destinatario es recibir cotizaciones, pedidos, facturas y recordatorio de cada uno. electrónico ';","Mark here se il destinatario è quello di ricevere preventivi, ordini, fatture e promemoria ciascuno. Mail ';"
"@Afmærk her hvis varen er en samlevare. Feltet er låst, hvis beholdningen er forskellig fra 0 eller varen indgår i en uafsluttet ordre","Afmærk her hvis varen er en samlevare. Feltet er låst, hvis beholdningen er forskellig fra 0 eller varen indgår i en uafsluttet ordre","Mark here if the item is a collective product. The field is locked, if the portfolio is different from 0 or the item is part of a pending order","Markieren Sie hier, wenn das Element ein kollektives Produkt. Das Feld wird gesperrt, wenn das Portfolio unterschiedlich von 0 oder der Artikel ist Teil eines noch nicht erledigten Auftrag","Marquez ici si l'élément est un produit collectif. Le champ est verrouillé, si le portefeuille est différent de 0 ou l'élément fait partie d'une commande en cours","öğe kolektif bir üründür burada işaretleyin. portföy 0'dan farklı bir veya öğe bekleyen düzenin parçası ise alan, kilitli","Zaznaczyć tutaj, jeśli element jest wspólnym produktem. Pole jest zablokowana, jeśli portfel jest różny od 0 lub artykuł jest częścią zlecenia oczekującego","Marque aquí si el artículo es un producto colectivo. El campo está bloqueado, si la cartera es diferente de 0 o el artículo es parte de una orden pendiente","Segnare qui se l'articolo è un prodotto collettivo. Il campo è bloccato, se il portafoglio è diverso da 0 o l'articolo è parte di un ordine pendente"
"@Afmærk her hvis varen indeholder denne type varianter.","Afmærk her hvis varen indeholder denne type varianter.","Mark here if the product contains this type flavors.","Markieren Sie hier, wenn das Produkt dieser Art Aromen enthält.","Marquez ici si le produit contient ce types de saveurs.","Ürün bu tür lezzetleri içeriyorsa burada işaretleyin.","Zaznaczyć tutaj, jeśli produkt zawiera tego typu smaki.","Marque aquí si el producto contiene este tipo de sabores.","Mark here se il prodotto contiene questo tipo sapori."
"@Afmærk her når varen/ydelsen er afsendt","Afmærk her når varen/ydelsen er afsendt","Mark here when the product / service has been shipped","Mark hier, wenn das Produkt / Service wurde ausgeliefert","Mark ici quand le produit / service a été expédié","Burada Mark ürün / hizmet sevk edildiğinde","Mark tutaj, kiedy produkt / usługa jest wysyłany","Marca aquí cuando el producto / servicio que se haya enviado","Mark qui quando il prodotto / servizio è stato spedito"
"@Afmærk her, hvis kasseoptællingen skal assisteres med formular til antal af mønter & sedler.","Afmærk her, hvis kasseoptællingen skal assisteres med formular til antal af mønter & sedler.","Mark here, if the cash count must be assisted to form the number of coins & notes.","Markieren Sie hier, wenn die Bargeldzählprüfung müssen unterstützt werden, um die Anzahl der Münzen und Noten zu bilden.","Marquez ici, si le nombre de trésorerie doit être assistée pour former le nombre de pièces et billets.","Nakit sayım sikke ve notlar sayısını oluşturmak için yardımcı olmalıdır eğer, burada işaretleyin.","Zaznaczyć tutaj, jeśli liczba gotówki musi być wspierana, aby tworzyć liczbę monet i banknotów.","Marque aquí, si el conteo de efectivo debe ser asistido para formar el número de monedas y billetes.","Segnare qui, se il conteggio di cassa deve essere assistito in modo da formare il numero di monete e banconote."
"@Afmærk her, hvis kortet er et betalingskort som bruges med betalingsterminal (Kun til anvendelse med integreret betalingsterminal).","Afmærk her, hvis kortet er et betalingskort som bruges med betalingsterminal (Kun til anvendelse med integreret betalingsterminal).","Mark here, if the card is a debit card used to pay terminal (only for use with integrated payment terminal).","Mark hier, wenn die Karte ist eine Debitkarte verwendet Terminal zu bezahlen (nur für den Einsatz mit integriertem Zahlungsterminal).","Mark ici, si la carte est une carte de débit utilisé pour payer terminal (uniquement pour une utilisation avec le terminal de paiement intégré).","Burada Mark, kart (yalnızca entegre ödeme terminali ile kullanım için) terminali ödemek için kullanılan bir banka kartı ise.","Zaznacz tutaj, jeśli karta jest kartą debetową zapłacić terminala (tylko do użytku z wbudowanym terminalem płatniczym).","Marcos aquí, si la tarjeta es una tarjeta de débito para pagar terminal (sólo para uso con terminal de pago integrado).","Mark qui, se la carta è una carta di debito utilizzata per pagare terminale (solo per l'uso con il terminale di pagamento integrato)."
"@Afmærk her, hvis kriterier skal genbruges.","Afmærk her, hvis kriterier skal genbruges.","Mark here, if the criteria must be recycled.","Markieren Sie hier, wenn die Kriterien müssen recycelt werden.","Marquez ici, si les critères doivent être recyclés.","kriterler geri dönüşümlü gerekiyorsa, burada işaretleyin.","Zaznaczyć tutaj, jeśli kryteria muszą być poddane recyklingowi.","Marque aquí, si se deben reciclar los criterios.","Segnare qui, se i criteri devono essere riciclate."
"@Afmærk her, hvis lagerbevægelser skal medtages.","Afmærk her, hvis lagerbevægelser skal medtages.","Mark here if stock movements must be included.","Markieren Sie hier, wenn Lagerbewegungen müssen enthalten sein.","Marquez ici si les mouvements de stock doivent être inclus.","stok hareketleri dahil edilmelidir burada işaretleyin.","Zaznaczyć tutaj, jeśli zmiany w poziomie zapasów muszą być uwzględnione.","Marque aquí si los movimientos de valores deben ser incluidos.","Segnare qui se devono essere inclusi i movimenti di magazzino."
"@Afmærk her, hvis leverings adresse er den samme som faktura adresse","Afmærk her, hvis leverings adresse er den samme som faktura adresse","Mark here if delivery address is the same as invoice address","Mark hier, wenn Lieferadresse ist die gleiche wie Rechnungsadresse","Mark ici si l'adresse de livraison est la même que l'adresse de facturation","Mark burada teslimat adresi, fatura adresi ile aynı ise","Zaznacz tutaj, jeśli adres dostawy jest taki sam jak adres na fakturze","Marcar aquí si la dirección de entrega es la misma que la dirección de facturación","Mark qui se l'indirizzo di consegna è lo stesso indirizzo di fatturazione"
"@Afmærk hvis det skal være muligt at sælge varer med omvendt betalingspligt","Afmærk hvis det skal være muligt at sælge varer med omvendt betalingspligt","Mark if it should be possible to sell products with reverse charge","Mark, wenn sollte es möglich sein, Produkte mit Reverse-Charge zu verkaufen","Mark s'il devrait être possible de vendre des produits avec autoliquidation","Mark ters ücret ile ürünlerini satmak mümkün olmalıdır eğer","Mark, czy powinno być możliwe do sprzedaży produktów z odwrotnego obciążenia","Marcar si debe ser posible vender productos con cobro revertido","Mark se dovrebbe essere possibile vendere prodotti con reverse charge"
"@Afmærkes dette felt bliver det muligt at ændre prisen på bundlinjen i en salgsordre ","Afmærkes dette felt bliver det muligt at ændre prisen på bundlinjen i en salgsordre ","Mark this field, it becomes possible to change the price at the bottom line of a sales order","Markieren Sie dieses Feld, wird es möglich, den Preis in der unteren Zeile eines Kundenauftrags zu ändern","Marquer ce champ, il devient possible de changer le prix à la ligne de fond d'une commande client","Mark bu alan, bir satış siparişinin alt satırında fiyatını değiştirmek mümkün olur","Zaznacz to pole, staje się możliwe do zmiany ceny w dolnej linii zamówienia sprzedaży","Marque este campo, se hace posible cambiar el precio en la línea inferior de un pedido de cliente","Segna questo campo, diventa possibile modificare il prezzo la linea di fondo di un ordine di vendita"
"@Afmærkes dette felt vil der komme en advarsel, hvis der indsættes varer, som ikke kan leveres, på en kundeordre.","Afmærkes dette felt vil der komme en advarsel, hvis der indsættes varer, som ikke kan leveres, på en kundeordre.","Mark this field will get a warning if inserted goods can not be delivered to a customer order.","Markieren Sie dieses Feld wird eine Warnung erhalten, wenn eingefügt Ware nicht zu einem Kundenauftrag geliefert werden.","Marquer ce champ sera un avertissement si les marchandises introduites ne peuvent pas être livrés à une commande client.","eklenen ürünler müşteri sipariş teslim edilememesi halinde Mark bu alan bir uyarı alırsınız.","Zaznacz to pole otrzyma ostrzeżenie, jeśli wstawione towar nie może być dostarczony do zamówienia klienta.","Marque este campo recibirá una advertencia si los productos insertados no pueden ser entregados a un pedido del cliente.","Segna questo campo otterrà un avviso se le merci inseriti non possono essere consegnati a un ordine del cliente."
"@Afmærkes feltet anvendes HTML/CSS til formulargenerering","Afmærkes feltet anvendes HTML/CSS til formulargenerering","Inscribed Field HTML / CSS for form generation","Gravierte Feld HTML / CSS für Formulargenerierung","Inscribed Champ HTML / CSS pour la génération de formulaire","Form üretimi için Inscribed Alan HTML / CSS","Wpisana Pole HTML / CSS do generowania formularzy","Inscrita campo HTML / CSS para la generación de la forma","Inscritto Campo HTML / CSS per la generazione di forma"
"@Afmærkes feltet anvendes HTML/CSS til formulargenerering. ","Afmærkes feltet anvendes HTML/CSS til formulargenerering. ","Inscribed Field HTML / CSS for form generation.","Gravierte Feld HTML / CSS für Formulargenerierung.","Inscribed Champ HTML / CSS pour la génération de formulaire.","Inscribed Alan HTML / form üretimi için CSS.","Wpisana Pole HTML / CSS do generowania formularza.","Inscrita campo HTML / CSS para la generación de la forma.","Inscritto Campo HTML / CSS per la generazione di forma."
"@Afmærkes her, kommer et ekstra felt på kundeordrer til procentfakturering af vareværdien. Bruges f.eks ved udlejning af materiel.","Afmærkes her, kommer et ekstra felt på kundeordrer til procentfakturering af vareværdien. Bruges f.eks ved udlejning af materiel.","Marked here comes an additional field of customer orders to billing percent of product value. Used for example by hiring of equipment.","So bezeichnete hier kommt ein weiteres Feld der Kundenaufträge zu Abrechnungs Prozent des Warenwertes. Verwendet zum Beispiel von der Ausrüstung zu mieten.","Marqué voici un champ supplémentaire des commandes des clients à la facturation pour cent de la valeur du produit. Utilisé par exemple par l'embauche d'équipement.","Ürün değerinin fatura yüzde müşteri siparişleri ek bir alan buraya gelir işaretlenmiş. donanımları kiralama, örneğin kullanılır.","Oznaczono tu pojawia się dodatkowe pole zleceń klienta do fakturowania procent wartości produktu. Używane na przykład wynajmu sprzętu.","aquí viene marcado un campo adicional de pedidos de clientes a la facturación por ciento del valor del producto. Se utiliza, por ejemplo, mediante la contratación de equipos.","Contrassegnato ecco che arriva un ulteriore campo degli ordini dei clienti alla fatturazione per cento del valore del prodotto. Utilizzato per esempio l'assunzione di attrezzature."
"@Afmærkes her, kommer et ekstra felt på salgsordrer til procentfakturering af vareværdien. Bruges f.eks ved udlejning af materiel.","Afmærkes her, kommer et ekstra felt på salgsordrer til procentfakturering af vareværdien. Bruges f.eks ved udlejning af materiel.","Marked here comes an additional field of sales orders for billing percent of product value. Used for example by hiring of equipment.","So bezeichnete hier kommt ein weiteres Feld von Kundenaufträgen für die Abrechnung Prozent des Warenwertes. Verwendet zum Beispiel von der Ausrüstung zu mieten.","Marqué voici un champ supplémentaire des ordres de vente pour la facturation pour cent de la valeur du produit. Utilisé par exemple par l'embauche d'équipement.","Ürün değerinin fatura yüzde satış siparişlerinin ek bir alan buraya gelir işaretlenmiş. donanımları kiralama, örneğin kullanılır.","Oznaczono tu pojawia się dodatkowe pole zleceń sprzedaży na procent rozliczeniowego wartości produktu. Używane na przykład wynajmu sprzętu.","aquí viene marcado un campo adicional de órdenes de venta para la facturación por ciento del valor del producto. Se utiliza, por ejemplo, mediante la contratación de equipos.","Contrassegnato ecco che arriva un ulteriore campo di ordini di vendita per la fatturazione per cento del valore del prodotto. Utilizzato per esempio l'assunzione di attrezzature."
